Name	Number of Occurrences		FemaleDirIsIn245
Guy Hamilton	1		
Guy Hedlund	1		
Guy Maddin	2		
Guy Nattiv	1		
Guy Perrotta	1		
Guy Ritchie	2		
Gwendolyn Foster	1		
Gyula Gazdag	1		
H	1		
Haile Gerima	1		
Hailima Yates	1		
Haim Buzaglo	1		
Haim Tabakman	1		
Hal Ashby	5		
Hal Hartley	1		
Hal Roach	1		
Hal Walker	2		
Hali Lee	1		
Hall Bartlett	1		
Hamid Nematollah	1		
Hannah Weyer	1		
Hans	1		
Hans Jurgen Syberberg	1		
Hany Abu	1		
Harold Boihem	1		
Harold Ramis	4		
Harold Scott	1		
Harry A	1		
Harry Beaumont	1		
Harry Dodge	1		
Harry Elfont	1		
Harry O	1		
Harry Shearer	1		
Harry Sinclair	1		
Harry Watt	1		
Haskell Wexler	1		
Hava Kohav Beller	1		
Hayao Miyazaki	14		
Heather Lyn Mac	1		
Hector Babenco	1		
Heddy Honigmann	1		
Heidi Ewing	1		
Heinz Peter Schwerfel	2		
Helen Staveley	1		
Henri	1		
Henry Alex Rubin	1		
Henry Cornelius	1		
Henry Hathaway	3		
Henry King	5		
Henry Koster	5		
Henry Levin	1		
Henry Lynn	1		
Herbert Biberman	1		
Herbert Brenon	1		
Herbert Ross	1		
Herbert Wise	3		
Herk Harvey	1		
Herman Shumlin	1		
Herrmann Zschoche	1		
Hideaki Anno	1		
Hidekazu Takahara	1		
Hideo Gosha	2		
Hideo Nakata	2		
Hilari Scarl	1		
Hillevi Loven	1		
Hiner Saleem	1		
Hiroaki Mori	1		
Hirokazu Kore	1		
Hiromasa Yonebayashi	1		
Hiroshi Inagaki	1		
Hiroyuki Morita	1		
